시도,합계,월,시군구
경상남도,938,201803,하동
경상남도,51713,201803,함안
경상남도,343,201803,합천
제주특별자치도,495731,201803,서귀포
제주특별자치도,1655984,201803,제주
광주광역시,5951435,201804,광주광역시
대구광역시,13575287,201804,대구광역시
대전광역시,7053772,201804,대전광역시
부산광역시,29441886,201804,부산광역시
서울특별시,121356422,201804,서울특별시
세종특별자치시,660979,201804,세종특별자치시
울산광역시,3875600,201804,울산광역시
인천광역시,21187994,201804,인천광역시
경기도,175030,201804,가평
경기도,7385101,201804,고양
경기도,590822,201804,과천
경기도,2925308,201804,광명
경기도,1755988,201804,광주
경기도,1439150,201804,구리
경기도,2466553,201804,군포
경기도,1812875,201804,김포
경기도,3785433,201804,남양주
경기도,530507,201804,동두천
경기도,7184462,201804,부천
경기도,9035257,201804,성남
경기도,8177811,201804,수원
경기도,1995774,201804,시흥
경기도,3942771,201804,안산
경기도,474008,201804,안성
경기도,5422423,201804,안양
경기도,1187301,201804,양주
경기도,282425,201804,양평
경기도,216055,201804,여주
경기도,86939,201804,연천
경기도,1021221,201804,오산
경기도,5608888,201804,용인
경기도,993055,201804,의왕
경기도,3375415,201804,의정부
경기도,464244,201804,이천
경기도,2009022,201804,파주
경기도,1758068,201804,평택
경기도,467711,201804,포천
경기도,1280822,201804,하남
경기도,2619363,201804,화성
강원특별자치도,445383,201804,강릉
강원특별자치도,35846,201804,고성
강원특별자치도,136061,201804,동해
강원특별자치도,28310,201804,삼척
강원특별자치도,153723,201804,속초
강원특별자치도,11037,201804,양구
강원특별자치도,27582,201804,양양
강원특별자치도,10522,201804,영월
강원특별자치도,859443,201804,원주
강원특별자치도,13284,201804,인제
강원특별자치도,15808,201804,정선
강원특별자치도,24846,201804,철원
강원특별자치도,711685,201804,춘천
강원특별자치도,45739,201804,태백
강원특별자치도,10985,201804,평창
강원특별자치도,37019,201804,홍천
강원특별자치도,13487,201804,화천
강원특별자치도,32806,201804,횡성
충청북도,31937,201804,괴산
충청북도,28819,201804,단양
충청북도,37203,201804,보은
충청북도,55995,201804,옥천
충청북도,2629,201804,음성
충청북도,213570,201804,제천
충청북도,106212,201804,증평
충청북도,95756,201804,진천
충청북도,2545136,201804,청주
충청북도,15351,201804,충주
충청남도,70866,201804,계룡
충청남도,180111,201804,공주
충청남도,54086,201804,금산
충청남도,153718,201804,논산
충청남도,238209,201804,당진
충청남도,133535,201804,보령
충청남도,67052,201804,부여
충청남도,211767,201804,서산
충청남도,39210,201804,서천
충청남도,748998,201804,아산
충청남도,95166,201804,예산
충청남도,2562647,201804,천안
충청남도,17658,201804,청양
충청남도,46822,201804,태안
충청남도,85402,201804,홍성
전라북도,46,201804,고창
전라북도,355241,201804,군산
전라북도,61347,201804,김제
전라북도,62128,201804,남원
전라북도,534,201804,무주
전라북도,26404,201804,부안
전라북도,22748,201804,순창
전라북도,175479,201804,완주
전라북도,548347,201804,익산
전라북도,14496,201804,임실
전라북도,151,201804,장수
전라북도,1752992,201804,전주
전라북도,93797,201804,정읍
전라북도,37491,201804,진안
전라남도,2425,201804,강진
전라남도,19674,201804,고흥
전라남도,3799,201804,곡성
전라남도,150042,201804,광양
전라남도,7213,201804,구례
전라남도,481490,201804,나주
전라남도,104944,201804,담양
전라남도,466978,201804,목포
전라남도,94493,201804,무안
전라남도,29745,201804,보성
전라남도,735102,201804,순천
전라남도,6242,201804,신안
